athlete_id;comp_id;cat;rank;points
CRO00028;WC2019CZE;W;1;283
CRO00042;WC2019CZE;W;2;214,5
GER00026;WC2019CZE;W;3;124
RUS00018;WC2019CZE;W;4;112,5
CRO00066;WC2019CZE;W;5;95
CRO00004;WC2019CZE;W;6;94,5
GER00061;WC2019CZE;W;7;90
RUS00052;WC2019CZE;W;8;86,5
RUS00043;WC2019CZE;W;9;75,5
CRO00007;WC2019CZE;W;10;70
CRO00043;WC2019CZE;W;11;65,5
HUN00025;WC2019CZE;W;12;61
CZE00038;WC2019CZE;W;13;52,5
CZE00029;WC2019CZE;W;14;40,5
FRA00044;WC2019CZE;W;15;39
CZE00027;WC2019CZE;W;16;36,5
FRA00027;WC2019CZE;W;17;23,5
CZE00030;WC2019CZE;W;18;21
RUS00056;WC2019CZE;W;19;21
RUS00012;WC2019CZE;W;20;18
HUN00008;WC2019CZE;W;21;17
CZE00043;WC2019CZE;W;22;16
FRA00023;WC2019CZE;W;23;14
RUS00072;WC2019CZE;W;24;13
RUS00111;WC2019CZE;W;25;12
FRA00053;WC2019CZE;W;26;11
CZE00042;WC2019CZE;W;27;11
FRA00040;WC2019CZE;W;28;10,5
GER00037;WC2019CZE;W;29;7
CZE00040;WC2019CZE;W;30;5
CZE00024;WC2019CZE;W;31;4
GER00053;WC2019CZE;W;32;4
RUS00067;WC2019CZE;W;33;2
RUS00112;WC2019CZE;W;34;2
CZE00033;WC2019CZE;W;35;0
CZE00131;WC2019CZE;W;36;0
EST00008;WC2019CZE;W;37;0
CRO00046;WC2019CZE;W;38;0
HUN00026;WC2019CZE;W;39;0
HUN00007;WC2019CZE;W;40;0
EST00037;WC2019CZE;W;41;0
FIN00038;WC2019CZE;W;42;0
EST00048;WC2019CZE;W;43;0
CRO00021;WCH2019RUS;M;1;454
CRO00030;WCH2019RUS;M;2;294
CRO00036;WCH2019RUS;M;3;194,5
CRO00025;WCH2019RUS;M;4;194
GER00017;WCH2019RUS;M;5;180,5
RUS00051;WCH2019RUS;M;6;168,5
GER00034;WCH2019RUS;M;7;143,5
FRA00033;WCH2019RUS;M;8;102,5
CZE00013;WCH2019RUS;M;9;71,5
RUS00029;WCH2019RUS;M;10;62
FRA00025;WCH2019RUS;M;11;61
RUS00064;WCH2019RUS;M;12;59
FRA00055;WCH2019RUS;M;13;41
RUS00063;WCH2019RUS;M;14;40
CRO00045;WCH2019RUS;M;15;32
FRA00046;WCH2019RUS;M;16;32
RUS00053;WCH2019RUS;M;17;29,5
GER00055;WCH2019RUS;M;18;28,5
RUS00039;WCH2019RUS;M;19;28
CRO00039;WCH2019RUS;M;20;24
RUS00066;WCH2019RUS;M;21;23,5
FRA00035;WCH2019RUS;M;22;20,5
CRO00041;WCH2019RUS;M;23;19
EST00020;WCH2019RUS;M;24;16
FRA00052;WCH2019RUS;M;25;11,5
FRA00008;WCH2019RUS;M;26;10
RUS00015;WCH2019RUS;M;27;10
GER00075;WCH2019RUS;M;28;6,5
GER00003;WCH2019RUS;M;29;6
HUN00019;WCH2019RUS;M;30;6
FRA00012;WCH2019RUS;M;31;6
RUS00057;WCH2019RUS;M;32;5
CRO00044;WCH2019RUS;M;33;5
FRA00049;WCH2019RUS;M;34;5
SUI00023;WCH2019RUS;M;35;3
CZE00028;WCH2019RUS;M;36;3
CZE00031;WCH2019RUS;M;37;2
RUS00110;WCH2019RUS;M;38;2
RUS00042;WCH2019RUS;M;39;0
GER00035;WCH2019RUS;M;40;0
RUS00019;WCH2019RUS;M;41;0
RUS00070;WCH2019RUS;M;42;0
GER00031;WCH2019RUS;M;43;0
CRO00011;WCH2019RUS;M;44;0
RUS00059;WCH2019RUS;M;45;0
EST00010;WCH2019RUS;M;46;0
RUS00068;WCH2019RUS;M;47;0
HUN00021;WCH2019RUS;M;48;0
CZE00039;WCH2019RUS;M;49;0
EST00023;WCH2019RUS;M;50;0
CZE00044;WCH2019RUS;M;51;0
HUN00024;WCH2019RUS;M;52;0
BLR00001;WCH2019RUS;M;53;0
EST00035;WCH2019RUS;M;54;0
EST00034;WCH2019RUS;M;55;0
FRA00020;WCH2019RUS;M;56;0
AUT00018;WCH2019RUS;M;57;0
AUT00016;WCH2019RUS;M;58;0
AUT00032;WCH2019RUS;M;59;0
CZE00034;WCH2019RUS;M;60;0
CZE00006;WCH2019RUS;M;61;0
CZE00061;WCH2019RUS;M;62;0
CZE00060;WCH2019RUS;M;63;0
CZE00026;WCH2019RUS;M;64;0
CZE00032;WCH2019RUS;M;65;0
CZE00062;WCH2019RUS;M;66;0
CZE00056;WCH2019RUS;M;67;0
CZE00132;WCH2019RUS;M;68;0
CZE00127;WCH2019RUS;M;69;0
CZE00133;WCH2019RUS;M;70;0
CZE00095;WCH2019RUS;M;71;0
